,number,title,labels,body,assignees,milestone,comments,created_at,closed_at,author_association,body.1,address_date,Closing_time,Author_Priority,Closetime_class,hotness
0,17069,tf.cast() can't cast string to number,stat:awaiting response,"OS: Win10 64bit
Tensorflow version: 1.5.0

It looks like tf.cast() can't cast string to number,  but the documents doesn't explain it.
I found this problem when I migrated older versions of tensorflow code to a new version.

When I used tf.cast() to cast string to float, I got error ""Unimplemented: Cast string to float is not supported"". 
And when I used tf.string_to_number () instead of tf.cast (), the problem was solved.

",0,,1,2018-02-16T15:52:53Z,2018-02-17T03:29:54Z,NONE,"OS: Win10 64bit
Tensorflow version: 1.5.0

It looks like tf.cast() can't cast string to number,  but the documents doesn't explain it.
I found this problem when I migrated older versions of tensorflow code to a new version.

When I used tf.cast() to cast string to float, I got error ""Unimplemented: Cast string to float is not supported"". 
And when I used tf.string_to_number () instead of tf.cast (), the problem was solved.

",2018-02-17T01:38:59Z,1,1,0,1.88987124525128
1,17068,Get variable mapping (dictionary) after checkpoint restore,"stat:awaiting response,type:support","It is a feature request.

Please provide a way to get the list of Tensorflow variables restored from a checkpoint and corresponding Python variables.

More info:

Consider that you have this code:

```
    matrix_1 = tf.Variable([[1, 2], [3, 4]], name=""matrix1"")
    matrix_2 = tf.Variable([[5, 6], [7, 8]], name=""matrix2"")
```

When a tensorflow checkpoint is created it has matrix1 and matrix2 variables saved. It is easy to understand that matrix1 (in TF namespace) corresponds to matrix_1 (in Python namespace).

Now consider that the code is:

```
    matrix_1 = tf.Variable([[1, 2], [3, 4]])
    matrix_2 = tf.Variable([[5, 6], [7, 8]])
```

A tensorflow checkpoint will have Variable_1:0 and Variable_2:0 variables saved. And it is not obvious at all that Variable_1:0 (in TF namespace) corresponds to matrix_1 (in Python namespace). Especially if there are dozens of variables.

There should be a way to get a list of corresponding variables. For example:
```
Variable_1 = matrix_1
Variable_2 = matrix_2
...
Variable_100 = relu_1_weights
```


",0,,4,2018-02-16T12:50:26Z,2018-02-16T22:37:39Z,NONE,"It is a feature request.

Please provide a way to get the list of Tensorflow variables restored from a checkpoint and corresponding Python variables.

More info:

Consider that you have this code:

```
    matrix_1 = tf.Variable([[1, 2], [3, 4]], name=""matrix1"")
    matrix_2 = tf.Variable([[5, 6], [7, 8]], name=""matrix2"")
```

When a tensorflow checkpoint is created it has matrix1 and matrix2 variables saved. It is easy to understand that matrix1 (in TF namespace) corresponds to matrix_1 (in Python namespace).

Now consider that the code is:

```
    matrix_1 = tf.Variable([[1, 2], [3, 4]])
    matrix_2 = tf.Variable([[5, 6], [7, 8]])
```

A tensorflow checkpoint will have Variable_1:0 and Variable_2:0 variables saved. And it is not obvious at all that Variable_1:0 (in TF namespace) corresponds to matrix_1 (in Python namespace). Especially if there are dozens of variables.

There should be a way to get a list of corresponding variables. For example:
```
Variable_1 = matrix_1
Variable_2 = matrix_2
...
Variable_100 = relu_1_weights
```


",2018-02-16T19:19:47Z,0,1,0,3.38987124525128
2,17066,Update guide.md,cla: yes,Fixing grammatical errors in the Installation instructions,0,,3,2018-02-16T12:12:57Z,2018-02-16T18:06:39Z,CONTRIBUTOR,Fixing grammatical errors in the Installation instructions,2018-02-16T12:15:36Z,0,2,0,3.88987124525128
3,17060,OSError: [Errno 13] Permission denied.. TensorFlow couldn't install,stat:awaiting response,"Exception:
Traceback (most recent call last):
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/basecommand.py"", line 215, in main
    status = self.run(options, args)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/commands/install.py"", line 342, in run
    prefix=options.prefix_path,
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_set.py"", line 784, in install
    **kwargs
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_install.py"", line 851, in install
    self.move_wheel_files(self.source_dir, root=root, prefix=prefix)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_install.py"", line 1064, in move_wheel_files
    isolated=self.isolated,
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/wheel.py"", line 345, in move_wheel_files
    clobber(source, lib_dir, True)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/wheel.py"", line 316, in clobber
    ensure_dir(destdir)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/utils/__init__.py"", line 83, in ensure_dir
    os.makedirs(path)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.py"", line 157, in makedirs
    mkdir(name, mode)
OSError: [Errno 13] Permission denied: '/Library/Python/2.7/site-packages/pbr-3.1.1.dist-info'",0,,3,2018-02-16T09:35:49Z,2018-02-16T18:29:47Z,NONE,"Exception:
Traceback (most recent call last):
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/basecommand.py"", line 215, in main
    status = self.run(options, args)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/commands/install.py"", line 342, in run
    prefix=options.prefix_path,
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_set.py"", line 784, in install
    **kwargs
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_install.py"", line 851, in install
    self.move_wheel_files(self.source_dir, root=root, prefix=prefix)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/req/req_install.py"", line 1064, in move_wheel_files
    isolated=self.isolated,
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/wheel.py"", line 345, in move_wheel_files
    clobber(source, lib_dir, True)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/wheel.py"", line 316, in clobber
    ensure_dir(destdir)
  File ""/Library/Python/2.7/site-packages/pip-9.0.1-py2.7.egg/pip/utils/__init__.py"", line 83, in ensure_dir
    os.makedirs(path)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.py"", line 157, in makedirs
    mkdir(name, mode)
OSError: [Errno 13] Permission denied: '/Library/Python/2.7/site-packages/pbr-3.1.1.dist-info'",2018-02-16T19:38:04Z,0,1,0,2.88987124525128
4,17059,Dataset API does not pass dimensionality information for its output tensor,,"SYSTEM INFO
python version: Python 2.7.12
tensorflow version: 1.4.0
CUDA version: 8.0
Ubuntu version: Ubuntu 16.04 LTS

----------------------------------------------------------------UPDATE-------------------------------------------------------------------

Please directly go to my third post which reproduces my issue with the minimum amount of code

----------------------------------------------------------UPDATE FINISHED----------------------------------------------------------

[https://github.com/tensorflow/tensorflow/issues/13348](url)

My problem is very similar to the issue above but I did not find solution in that post.

```
def image_parser(image_name):
    im_file = os.path.join(cfg.DATA_DIR, 'demo', image_name)
    im = cv2.imread(im_file)
    blobs, im_scales = _get_blobs(im)
    assert len(im_scales) == 1, ""Only single-image batch implemented""
    im_blob = blobs['data']
    blobs['im_info'] = np.array([im_blob.shape[1], im_blob.shape[2], im_scales[0]], dtype=np.float32)
    return blobs['data'], blobs['im_info'], im_scales, im

def _get_blobs(im):
  """"""Convert an image and RoIs within that image into network inputs.""""""
  blobs = {}
  blobs['data'], im_scale_factors = _get_image_blob(im)

  return blobs, im_scale_factors

def _get_image_blob(im):
  """"""Converts an image into a network input.
  Arguments:
    im (ndarray): a color image in BGR order
  Returns:
    blob (ndarray): a data blob holding an image pyramid
    im_scale_factors (list): list of image scales (relative to im) used
      in the image pyramid
  """"""
  im_orig = im.astype(np.float32, copy=True)
  im_orig -= cfg.PIXEL_MEANS

  im_shape = im_orig.shape
  im_size_min = np.min(im_shape[0:2])
  im_size_max = np.max(im_shape[0:2])

  processed_ims = []
  im_scale_factors = []

  for target_size in cfg.TEST.SCALES:
    im_scale = float(target_size) / float(im_size_min)
    # Prevent the biggest axis from being more than MAX_SIZE
    if np.round(im_scale * im_size_max) > cfg.TEST.MAX_SIZE:
      im_scale = float(cfg.TEST.MAX_SIZE) / float(im_size_max)
    im = cv2.resize(im_orig, None, None, fx=im_scale, fy=im_scale,
            interpolation=cv2.INTER_LINEAR)
    im_scale_factors.append(im_scale)
    processed_ims.append(im)

  # Create a blob to hold the input images
  blob = im_list_to_blob(processed_ims)
  return blob, np.array(im_scale_factors)


def im_list_to_blob(ims):
  """"""Convert a list of images into a network input.

  Assumes images are already prepared (means subtracted, BGR order, ...).
  """"""
  max_shape = np.array([im.shape for im in ims]).max(axis=0)
  num_images = len(ims)
  blob = np.zeros((num_images, max_shape[0], max_shape[1], 3),
                  dtype=np.float32)
  for i in range(num_images):
    im = ims[i]
    blob[i, 0:im.shape[0], 0:im.shape[1], :] = im

  return blob
```

I defined a function `image_parser` which will parse image file name into 4 numpy arrays (it has three subsequent function calls,  ` _get_blobs`, ` _get_image_blob`,  `im_list_to_blob`)

Then I construct a dataset with `py_func` mapping to form the input pipeline:

   ```
    images = []
    for root, dirs, files in os.walk('./data/demo/'):
        for file in files:
            if file.endswith('jpg'):
                images.append(file)

    # dataset construction
    im_dataset = tf.data.Dataset.from_tensor_slices(images)
    im_dataset = im_dataset.map(lambda image:
                                tuple(tf.py_func(image_parser, [image], [tf.float32, tf.float32, tf.float64, tf.uint8])),
                                num_parallel_calls = 2)
    im_dataset = im_dataset.prefetch(4)
    print(""output data type is "", im_dataset.output_types)
    print(""output data shape is "", im_dataset.output_shapes)
    iterator = im_dataset.make_initializable_iterator()
    with tf.Session() as sess:
        sess.run(iterator.initializer)
        a = sess.run(iterator.get_next())
    print(""shape of the run results are: "")
    print(a[0].shape)
    print(a[1].shape)
    print(a[2].shape)
    print(a[3].shape)
```

When I print the shape of my output tensors from dataset right after my dataset construction, the print is:
```
output data type is  (tf.float32, tf.float32, tf.float64, tf.uint8)
output data shape is  (TensorShape(None), TensorShape(None), TensorShape(None), TensorShape(None))
```
the shape of tensors is None.

However I could print out the output tensor shape after my sess.run. 
```
shape of the run results are: 
(1, 600, 800, 3)
(3,)
(1,)
(375, 500, 3)
```

I need the shape of the output tensor from dataset to be defined to feed into my graph. Thanks!",0,,4,2018-02-16T07:09:31Z,2018-02-17T12:03:43Z,NONE,"SYSTEM INFO
python version: Python 2.7.12
tensorflow version: 1.4.0
CUDA version: 8.0
Ubuntu version: Ubuntu 16.04 LTS

----------------------------------------------------------------UPDATE-------------------------------------------------------------------

Please directly go to my third post which reproduces my issue with the minimum amount of code

----------------------------------------------------------UPDATE FINISHED----------------------------------------------------------

[https://github.com/tensorflow/tensorflow/issues/13348](url)

My problem is very similar to the issue above but I did not find solution in that post.

```
def image_parser(image_name):
    im_file = os.path.join(cfg.DATA_DIR, 'demo', image_name)
    im = cv2.imread(im_file)
    blobs, im_scales = _get_blobs(im)
    assert len(im_scales) == 1, ""Only single-image batch implemented""
    im_blob = blobs['data']
    blobs['im_info'] = np.array([im_blob.shape[1], im_blob.shape[2], im_scales[0]], dtype=np.float32)
    return blobs['data'], blobs['im_info'], im_scales, im

def _get_blobs(im):
  """"""Convert an image and RoIs within that image into network inputs.""""""
  blobs = {}
  blobs['data'], im_scale_factors = _get_image_blob(im)

  return blobs, im_scale_factors

def _get_image_blob(im):
  """"""Converts an image into a network input.
  Arguments:
    im (ndarray): a color image in BGR order
  Returns:
    blob (ndarray): a data blob holding an image pyramid
    im_scale_factors (list): list of image scales (relative to im) used
      in the image pyramid
  """"""
  im_orig = im.astype(np.float32, copy=True)
  im_orig -= cfg.PIXEL_MEANS

  im_shape = im_orig.shape
  im_size_min = np.min(im_shape[0:2])
  im_size_max = np.max(im_shape[0:2])

  processed_ims = []
  im_scale_factors = []

  for target_size in cfg.TEST.SCALES:
    im_scale = float(target_size) / float(im_size_min)
    # Prevent the biggest axis from being more than MAX_SIZE
    if np.round(im_scale * im_size_max) > cfg.TEST.MAX_SIZE:
      im_scale = float(cfg.TEST.MAX_SIZE) / float(im_size_max)
    im = cv2.resize(im_orig, None, None, fx=im_scale, fy=im_scale,
            interpolation=cv2.INTER_LINEAR)
    im_scale_factors.append(im_scale)
    processed_ims.append(im)

  # Create a blob to hold the input images
  blob = im_list_to_blob(processed_ims)
  return blob, np.array(im_scale_factors)


def im_list_to_blob(ims):
  """"""Convert a list of images into a network input.

  Assumes images are already prepared (means subtracted, BGR order, ...).
  """"""
  max_shape = np.array([im.shape for im in ims]).max(axis=0)
  num_images = len(ims)
  blob = np.zeros((num_images, max_shape[0], max_shape[1], 3),
                  dtype=np.float32)
  for i in range(num_images):
    im = ims[i]
    blob[i, 0:im.shape[0], 0:im.shape[1], :] = im

  return blob
```

I defined a function `image_parser` which will parse image file name into 4 numpy arrays (it has three subsequent function calls,  ` _get_blobs`, ` _get_image_blob`,  `im_list_to_blob`)

Then I construct a dataset with `py_func` mapping to form the input pipeline:

   ```
    images = []
    for root, dirs, files in os.walk('./data/demo/'):
        for file in files:
            if file.endswith('jpg'):
                images.append(file)

    # dataset construction
    im_dataset = tf.data.Dataset.from_tensor_slices(images)
    im_dataset = im_dataset.map(lambda image:
                                tuple(tf.py_func(image_parser, [image], [tf.float32, tf.float32, tf.float64, tf.uint8])),
                                num_parallel_calls = 2)
    im_dataset = im_dataset.prefetch(4)
    print(""output data type is "", im_dataset.output_types)
    print(""output data shape is "", im_dataset.output_shapes)
    iterator = im_dataset.make_initializable_iterator()
    with tf.Session() as sess:
        sess.run(iterator.initializer)
        a = sess.run(iterator.get_next())
    print(""shape of the run results are: "")
    print(a[0].shape)
    print(a[1].shape)
    print(a[2].shape)
    print(a[3].shape)
```

When I print the shape of my output tensors from dataset right after my dataset construction, the print is:
```
output data type is  (tf.float32, tf.float32, tf.float64, tf.uint8)
output data shape is  (TensorShape(None), TensorShape(None), TensorShape(None), TensorShape(None))
```
the shape of tensors is None.

However I could print out the output tensor shape after my sess.run. 
```
shape of the run results are: 
(1, 600, 800, 3)
(3,)
(1,)
(375, 500, 3)
```

I need the shape of the output tensor from dataset to be defined to feed into my graph. Thanks!",2018-02-17T09:21:38Z,1,1,0,3.38987124525128
5,17040,conv1d doc string misnames first argument,cla: yes,The docs say `conv2d()`'s first argument is `input` which is maybe how the docstring for `conv1d()` ended up saying `input` instead of `value` when describing the `filters` argument.,0,,3,2018-02-15T13:11:14Z,2018-02-16T01:39:23Z,CONTRIBUTOR,The docs say `conv2d()`'s first argument is `input` which is maybe how the docstring for `conv1d()` ended up saying `input` instead of `value` when describing the `filters` argument.,2018-02-15T13:13:20Z,1,2,0,3.8789231816899514
6,17022,Is python 3.7.x supported with Tensorflow,,"Ive been trying to install Tensorflow on my computer which currently runs python 3.7, however I keep running into some common issues... And each time i try to use the solutions provided, nothing works. 

Im not sure, but Im guessing python 3.7 might not be supported considering the official Tensorflow page has no link to python 3.7, that maybe this is the reason I havent been able to correctly install Tensorflow.",0,,1,2018-02-15T00:00:58Z,2018-02-15T01:37:46Z,NONE,"Ive been trying to install Tensorflow on my computer which currently runs python 3.7, however I keep running into some common issues... And each time i try to use the solutions provided, nothing works. 

Im not sure, but Im guessing python 3.7 might not be supported considering the official Tensorflow page has no link to python 3.7, that maybe this is the reason I havent been able to correctly install Tensorflow.",2018-02-15T06:53:07Z,0,1,0,1.8789231816899512
7,17020,"""DeprecationWarning: The binary mode of fromstring is deprecated"" warning appears in some cases",,"### System information
- **Have I written custom code (as opposed to using a stock example script provided in TensorFlow)**: Yes
- **OS Platform and Distribution (e.g., Linux Ubuntu 16.04)**: Ubuntu 16.04
- **TensorFlow installed from (source or binary)**: Binary, tf-nightly
- **TensorFlow version (use command below)**: 1.7.0.dev20180214, git version b2a0f1c
- **Python version**: 2.7.12
- **Bazel version (if compiling from source)**: N/A
- **GCC/Compiler version (if compiling from source)**: N/A
- **CUDA/cuDNN version**: N/A
- **GPU model and memory**: N/A
- **Exact command to reproduce**:

```python
import tensorflow as tf
from tensorflow.contrib.image.ops import gen_distort_image_ops
from tensorflow.python.framework import tensor_util
tensor_util.constant_value(tf.convert_to_tensor([1., 1.]))
```

### Describe the problem
When I run the program above, I get the warning
```
/home/reedwm/venvs/tfnightlycpu/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_util.py:560: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  return np.fromstring(tensor.tensor_content, dtype=dtype).reshape(shape)
```

This may not seem so bad, but when running [`tf_cnn_benchmarks`](https://github.com/tensorflow/benchmarks/tree/master/scripts/tf_cnn_benchmarks), I get hundreds of such warnings.

What's very strange is that if I comment the line `from tensorflow.contrib.image.ops import gen_distort_image_ops`, I don't get the warning.

This is the same issue as ppwwyyxx/tensorpack#641. @yaroslavvb, did you file a TensorFlow bug for this? If so, this can be marked as a duplicate.

Not really sure who to triage this to. /CC @mrry, can you address this or retriage?
",1,,2,2018-02-14T23:34:27Z,2018-02-16T21:00:25Z,MEMBER,"### System information
- **Have I written custom code (as opposed to using a stock example script provided in TensorFlow)**: Yes
- **OS Platform and Distribution (e.g., Linux Ubuntu 16.04)**: Ubuntu 16.04
- **TensorFlow installed from (source or binary)**: Binary, tf-nightly
- **TensorFlow version (use command below)**: 1.7.0.dev20180214, git version b2a0f1c
- **Python version**: 2.7.12
- **Bazel version (if compiling from source)**: N/A
- **GCC/Compiler version (if compiling from source)**: N/A
- **CUDA/cuDNN version**: N/A
- **GPU model and memory**: N/A
- **Exact command to reproduce**:

```python
import tensorflow as tf
from tensorflow.contrib.image.ops import gen_distort_image_ops
from tensorflow.python.framework import tensor_util
tensor_util.constant_value(tf.convert_to_tensor([1., 1.]))
```

### Describe the problem
When I run the program above, I get the warning
```
/home/reedwm/venvs/tfnightlycpu/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_util.py:560: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  return np.fromstring(tensor.tensor_content, dtype=dtype).reshape(shape)
```

This may not seem so bad, but when running [`tf_cnn_benchmarks`](https://github.com/tensorflow/benchmarks/tree/master/scripts/tf_cnn_benchmarks), I get hundreds of such warnings.

What's very strange is that if I comment the line `from tensorflow.contrib.image.ops import gen_distort_image_ops`, I don't get the warning.

This is the same issue as ppwwyyxx/tensorpack#641. @yaroslavvb, did you file a TensorFlow bug for this? If so, this can be marked as a duplicate.

Not really sure who to triage this to. /CC @mrry, can you address this or retriage?
",2018-02-14T23:43:17Z,2,3,0,5.369269373068855
8,17010,Fixes #16976,cla: yes,,1,,7,2018-02-14T13:30:17Z,2018-02-17T08:01:22Z,CONTRIBUTOR,,2018-02-14T13:49:36Z,3,2,1,6.869269373068855
9,17000,MKL: Fixing MklCPUAllocator error introduced by commit #1baac78,"awaiting testing (then merge),cla: yes",PR #16987 also fixes this problem. Commit 1baac78 also broke http://ci.tensorflow.org/view/Nightly/job/nightly-mkl/127,0,,1,2018-02-14T05:24:45Z,2018-02-16T00:39:32Z,CONTRIBUTOR,PR #16987 also fixes this problem. Commit 1baac78 also broke http://ci.tensorflow.org/view/Nightly/job/nightly-mkl/127,2018-02-14T16:44:17Z,2,2,0,2.869269373068855
